CF,xc,yc,tc,projected_area,xwidth,ywidth,height,volume,duration,total_intensity,mean_intensity,max_intensity,xmax,ymax,tmax,variance,xbary,ybary,tbary,barintensity,relative_variance,x_image,y_image,lon_carrington,lat_carrington,corrcoeff,LOSdist,x_shift,y_shift,major_axis,minor_axis,angle
70,158.5,95.0,111.0,30,7,6,nan,110,12,46898,426.3454545454546,570,157,95,111,560.6351837649074,158,95,111,532,1.3529753094047205,679.1475543047068,691.734080333488,151.89156626506025,16.953815261044177,nan,nan,nan,nan,7.172606639928247,3.7904845265181226,-1.4822698883084282
71,127.0,86.5,175.0,9,4,3,nan,15,4,4463,297.53333333333336,348,127,85,175,388.48730468750017,127,86,175,348,1.3460418396073202,650.6361216180514,684.2213935999126,151.53012048192772,16.853413654618475,nan,nan,nan,nan,3.4641016151377544,2.7386127875258306,0.7853981633974483
72,120.0,89.5,337.0,15,4,5,nan,52,8,15595,299.90384615384613,398,120,89,337,386.3412916371733,120,89,337,398,1.330504483762194,643.8763981564302,687.9838315331448,151.44578313253012,16.893574297188756,nan,nan,nan,nan,4.51260859854213,2.9541957835039856,0.0
73,165.0,68.5,315.5,31,8,5,nan,195,23,77988,399.9384615384615,524,165,69,314,522.3965939745713,165,68,314,506,1.3304111544854011,687.2159665028805,668.7883213432212,151.9879518072289,16.69277108433735,nan,nan,nan,nan,5.133545581275998,3.7844768886224207,-0.7261531838183795
74,131.0,77.0,163.0,12,4,4,nan,55,8,17419,316.7090909090909,413,130,77,161,408.9971841999538,131,77,162,367,1.3288035766395445,653.626212932912,677.1375381340313,151.56626506024097,16.77309236947791,nan,nan,nan,nan,3.9999999999999996,3.468869823334348,1.2490457723982542
75,125.5,74.0,108.5,16,3,6,nan,66,7,21190,321.06060606060606,431,125,73,108,414.174110471647,125,73,108,431,1.3109991748652032,648.8966540485537,673.8554822522178,151.50602409638554,16.73293172690763,nan,nan,nan,nan,5.449353665897314,3.1458514520977277,-0.12498931073041128
76,146.5,84.0,45.5,17,7,4,nan,76,7,30549,401.9605263157895,555,145,84,48,520.3173796171361,146,84,45,381,1.3074609338048406,667.8670328571491,682.6339918167093,151.74698795180723,16.843373493975903,nan,nan,nan,nan,5.8172725893661745,3.4690545716389303,-1.4344023748964683
77,116.5,70.5,331.5,17,5,5,nan,95,13,31290,329.36842105263156,440,116,71,333,411.21812122920113,116,70,331,381,1.2897469843840124,640.3013477708364,672.4766388478141,151.3975903614458,16.71285140562249,nan,nan,nan,nan,4.780914437337574,3.5456210417116734,-0.7853981633974483
78,68.5,77.0,270.5,29,5,10,nan,226,21,66914,296.07964601769913,364,68,79,261,370.8516140431874,68,76,268,297,1.287310356905935,594.1222774654022,681.4121481673498,150.81927710843374,16.79317269076305,nan,nan,nan,nan,8.200190751094418,3.14260802822636,-0.38122568607904767
79,162.0,104.5,170.0,22,6,7,nan,110,16,44593,405.3909090909091,481,164,106,176,523.5205773689012,162,104,169,430,1.2775436429468663,685.6322418483478,701.030160871377,151.97590361445782,17.06425702811245,nan,nan,nan,nan,4.533315962095487,3.0114583009821128,0.8547180319645272
80,152.0,107.0,111.5,38,8,8,nan,208,19,86414,415.4519230769231,582,151,105,111,514.2556755094648,151,106,111,567,1.2450300702976924,673.2502016286178,700.670027962784,151.81927710843374,17.05421686746988,nan,nan,nan,nan,6.160376433314475,3.721858586199385,-1.4465674396258956
81,49.0,86.0,155.0,16,4,6,nan,76,10,25031,329.35526315789474,451,48,84,154,387.090088529544,48,85,155,400,1.2070656301692892,574.8274866609315,686.6036392607367,150.57831325301206,16.843373493975903,nan,nan,nan,nan,5.325521087973104,3.2897566188004737,0.532753069347751
82,146.5,65.5,255.0,23,9,3,nan,101,12,32838,325.1287128712871,398,147,66,258,376.9606995613174,146,65,255,318,1.1868648938148394,670.0570282312729,666.8832649422959,151.7710843373494,16.662650602409638,nan,nan,nan,nan,6.273719102168026,2.6156513642006423,-1.4016345155402667
83,118.5,70.0,255.0,15,3,6,nan,51,10,14410,282.54901960784315,336,118,71,252,327.0765245653819,118,70,254,288,1.1769912406106664,642.218215932593,672.3958814583524,151.42168674698794,16.71285140562249,nan,nan,nan,nan,3.885753375057407,2.7954428906961324,-0.3543131360638352
84,59.5,83.5,329.5,63,7,13,nan,643,55,216415,336.5707620528771,457,59,86,318,387.15589392494456,59,83,331,,1.1725917413905966,585.3875945459536,687.880960173229,150.710843373494,16.863453815261046,nan,nan,nan,nan,9.303869464637387,3.0775104932766233,0.19718115162974667
85,147.0,84.0,52.0,19,6,4,nan,51,4,22089,433.11764705882354,594,146,84,50,496.57830027691256,147,83,51,517,1.1616506516267664,668.8228059568992,682.5944193322202,151.75903614457832,16.843373493975903,nan,nan,nan,nan,5.947986770858556,3.6373685424333893,-1.2885820227521596
